flag	content
	
$LOADING	Loading
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	.
$THOUSANDS_SEPARATOR	,
	
$PLAY	Play
$ENDLESS	Endless
$MULTIPLAYER	Multiplayer
$CREDITS	Credits
$BACK	Back
$SELECT_PLAYERS	Select Players
$NUMBER_OF_PLAYERS	Number of players
$STAGES	Stages
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Custom 1
$CUSTOM_2	Custom 2
$CUSTOM_3	Custom 3
$SET	Set...
$NEVER-ENDING	Never-ending
$NO_POWERUPS	No powerups
$CLICK	Click
$MORE_OPTIONS	More Options
$STAGE_OPTIONS	Stage Options
$PLAY_AGAINST_COMPUTER	Play against computer
$SELECT_LEVEL	Select Level
$STAGE_SELECTION	Stage Selection
$CONTINUE	Continue
$MAIN_MENU	Main Menu
$GAME_PAUSED	Game Paused
$SECRET_ORB_FOUND	Secret Orb Found
$CHARACTER_UNLOCKED	New character unlocked!
$LAST_CHARACTER_UNLOCKED	Last character unlocked! All orbs found!
$BEST_TIME	Best<N>time
$NONE_CAPS	NONE
$START_OVER	Start Over
$YES	Yes
$NO	No
$CANCEL	Cancel
$CONTINUE_QUESTION	Continue?
$CONTINUE_PREVIOUS_GAME_QUESTION	Continue Previous Game?
$CHOOSE_NEW_KEY	Choose New Key
$PRESS_NEW_KEY	Press new key...
$KEY_ALREADY_IN_USE	“<X>” is already in use.<N>Please choose another key.
	
$WINNER	Winner
$TIE_EXCLAMATION	Tie!
$HAS_WON_THE_TOURNAMENT	has won the tournament!
$TWO_PLAYER_TIE	Two players are tied<N>for first place!
$THREE_PLAYER_TIE	Three players are tied<N>for first place!
$FOUR_PLAYER_TIE	Four players are tied<N>for first place!
$FIVE_PLAYER_TIE	Five players are tied<N>for first place!
$SIX_PLAYER_TIE	Six players are tied<N>for first place!
$SEVEN_PLAYER_TIE	Seven players are tied<N>for first place!
$EIGHT_PLAYER_TIE	Eight players are tied<N>for first place!
	
$TAP_ICONS_TO_ADD	Tap on stage icons to add to list
$CLICK_ICONS_TO_ADD	Click on stage icons to add to list.
	
$GS1_STAGE	GS1 Stage <X>
$GS2_STAGE	GS2 Stage <X>
$GS3_STAGE	GS3 Stage <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
	
$CLICK_OR_PRESS_KEY_TO_FLIP	Click or press any key to flip
$TAP_TO_FLIP	Tap anywhere to flip gravity
$TAP_TO_START	Tap anywhere to start
$TAP_TO_CONTINUE	Tap anywhere to continue
$TAP_TO_START_NEW_TOURNAMENT	Tap anywhere to start a new tournament
$RANKINGS	Rankings
$FINAL_ROUND	Final Round
$FINAL_ROUND_CAPS	FINAL ROUND
$ROUND_X_OF_Y	Round <X> of <Y>
$ROUND_X	Round <X>
$FIRST_SUPERSCRIPT	st
$SECOND_SUPERSCRIPT	nd
$THIRD_SUPERSCRIPT	rd
$FOURTH_SUPERSCRIPT	th
$FIFTH_SUPERSCRIPT	th
$SIXTH_SUPERSCRIPT	th
$SEVENTH_SUPERSCRIPT	th
$EIGHTH_SUPERSCRIPT	th
$FIRST_BASELINE	1
$SECOND_BASELINE	2
$THIRD_BASELINE	3
$FOURTH_BASELINE	4
$FIFTH_BASELINE	5
$SIXTH_BASELINE	6
$SEVENTH_BASELINE	7
$EIGHTH_BASELINE	8
	
