content	flags
$LOADING	Chargement
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	,
$THOUSANDS_SEPARATOR	,
$PLAY	Jouer
$ENDLESS	Infini
$MULTIPLAYER	Multijoueur
$CREDITS	Crédits
$BACK	Retour
$SELECT_PLAYERS	Choisir des joueurs
$NUMBER_OF_PLAYERS	Nombre de joueurs
$STAGES	Étapes
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Personnalisé 1
$CUSTOM_2	Personnalisé 2
$CUSTOM_3	Personnalisé 3
$SET	Définir...
$NEVER-ENDING	Sans fin
$NO_POWERUPS	Aucun power-up
$CLICK	Cliquer
$MORE_OPTIONS	Plus d'options
$STAGE_OPTIONS	Options des étapes
$PLAY_AGAINST_COMPUTER	Jouer contre l'ordinateur
$SELECT_LEVEL	Choisir le niveau
$STAGE_SELECTION	Sélection de l'étape
$CONTINUE	Continuer
$MAIN_MENU	Menu principal
$GAME_PAUSED	Jeu en pause
$SECRET_ORB_FOUND	Orbe secret trouvé
$CHARACTER_UNLOCKED	Nouveau personnage débloqué !
$LAST_CHARACTER_UNLOCKED	Dernier personnage débloqué ! Tous les orbes trouvés !
$BEST_TIME	Meilleur<N>temps
$NONE_CAPS	AUCUN
$START_OVER	Recommencer
$YES	Oui
$NO	Non
$CANCEL	Annuler
$CONTINUE_QUESTION	Continuer ?
$CONTINUE_PREVIOUS_GAME_QUESTION	Continuer le jeu précédent ?
$CHOOSE_NEW_KEY	Choisir une nouvelle touche
$PRESS_NEW_KEY	Appuyez sur la nouvelle touche...
$KEY_ALREADY_IN_USE	« <X> » est déjà utilisé. <N>Veuillez choisir une autre touche.
$WINNER	Gagnant
$TIE_EXCLAMATION	Match nul !
$HAS_WON_THE_TOURNAMENT	a gagné le tournoi !
$TWO_PLAYER_TIE	Deux joueurs sont à égalité<N>pour la première place !
$THREE_PLAYER_TIE	Trois joueurs sont à égalité<N>pour la première place !
$FOUR_PLAYER_TIE	Quatre joueurs sont à égalité<N>pour la première place !
$FIVE_PLAYER_TIE	Cinq joueurs sont à égalité<N>pour la première place !
$SIX_PLAYER_TIE	Six joueurs sont à égalité<N>pour la première place !
$SEVEN_PLAYER_TIE	Sept joueurs sont à égalité<N>pour la première place !
$EIGHT_PLAYER_TIE	Huit joueurs sont à égalité<N>pour la première place !
$TAP_ICONS_TO_ADD	Appuyez sur les icônes des étapes pour les ajouter à la liste
$CLICK_ICONS_TO_ADD	Cliquez sur les icônes des étapes pour les ajouter à la liste
$GS1_STAGE	GS1 Étape <X>
$GS2_STAGE	GS2 Étape <X>
$GS3_STAGE	GS3 Étape <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
$CLICK_OR_PRESS_KEY_TO_FLIP	Cliquez ou appuyez sur n'importe quelle touche pour renverser
$TAP_TO_FLIP	Appuyez n'importe où pour renverser la gravité
$TAP_TO_START	Appuyez n'importe où pour commencer
$TAP_TO_CONTINUE	Appuyez n'importe où pour continuer
$TAP_TO_START_NEW_TOURNAMENT	Appuyez n'importe où pour commencer un nouveau tournoi
$RANKINGS	Classements
$FINAL_ROUND	Épreuve finale
$FINAL_ROUND_CAPS	ÉPREUVE FINALE
$ROUND_X_OF_Y	Épreuve <X> sur <Y>
$ROUND_X	Épreuve <X>
$FIRST_SUPERSCRIPT	er
$SECOND_SUPERSCRIPT	e
$THIRD_SUPERSCRIPT	e
$FOURTH_SUPERSCRIPT	e
$FIFTH_SUPERSCRIPT	e
$SIXTH_SUPERSCRIPT	e
$SEVENTH_SUPERSCRIPT	e
$EIGHTH_SUPERSCRIPT	e
$FIRST_BASELINE	1
$SECOND_BASELINE	2
$THIRD_BASELINE	3
$FOURTH_BASELINE	4
$FIFTH_BASELINE	5
$SIXTH_BASELINE	6
$SEVENTH_BASELINE	7
$EIGHTH_BASELINE	8
$PLAYER_1	Joueur 1
$PLAYER_2	Joueur 2
$PLAYER_3	Joueur 3
$PLAYER_4	Joueur 4
$TAP_HERE_CAPS	APPUYEZ ICI
$PRESS_ENTER_TO_START	Appuyez sur ENTRÉE pour commencer
$PRESS_ENTER_TO_CONTINUE	Appuyez sur ENTRÉE pour continuer
$PRESS_ENTER_TO_START_OR_ESC	Appuyez sur ENTRÉE pour commencer un nouveau tournoi, ou ÉCHAP
$PRESS_SPACE_TO_START	Appuyez sur ESPACE pour commencer
$PRESS_SPACE_TO_CONTINUE	Appuyez sur ESPACE pour continuer
$PRESS_SPACE_TO_START_OR_ESC	Appuyez sur ESPACE pour commencer un nouveau tournoi, ou ÉCHAP
$LEVEL_X	Niveau <X>
$LEVEL_1_DESCRIPTION	Paysage urbain vert
$LEVEL_2_DESCRIPTION	Géant rouge
$LEVEL_3_DESCRIPTION	Rêves pourpres
$SCORE	Score
$BEST_SCORE	Meilleur
$X_POINTS	<X> points
$END_DIALOG_1_1_LINE_1	Nous nous retrouvons donc à 
$END_DIALOG_1_1_LINE_2	nouveau.
$END_DIALOG_1_1_LINE_3	Je vois que vos compétences n'ont
$END_DIALOG_1_1_LINE_4	pas diminué le moins du monde.
$END_DIALOG_1_2_LINE_1	C'était facile !
$END_DIALOG_1_2_LINE_2	 
$END_DIALOG_1_2_LINE_3	Je relèverai tous les défis que vous
$END_DIALOG_1_2_LINE_4	me lancerez.
$END_DIALOG_1_3_LINE_1	Haha ! Je n'en serais pas si sûr
$END_DIALOG_1_3_LINE_2	si j'étais vous. Voyons comment
$END_DIALOG_1_3_LINE_3	vous vous en sortez dans la
$END_DIALOG_1_3_LINE_4	prochaine série de défis.
