content	flags
$LOADING	読み込み中
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	：
$DECIMAL_POINT	.
$THOUSANDS_SEPARATOR	,
$PLAY	プレイ
$ENDLESS	エンドレス
$MULTIPLAYER	対戦
$CREDITS	クレジット
$BACK	戻る
$SELECT_PLAYERS	プレイヤーを選択
$NUMBER_OF_PLAYERS	プレイヤー数
$STAGES	ステージ
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	カスタム1
$CUSTOM_2	カスタム2
$CUSTOM_3	カスタム3
$SET	設定...
$NEVER-ENDING	エンドレス
$NO_POWERUPS	パワーアップなし
$CLICK	クリック
$MORE_OPTIONS	他のオプション
$STAGE_OPTIONS	ステージオプション
$PLAY_AGAINST_COMPUTER	コンピューターと対戦
$SELECT_LEVEL	レベルを選択
$STAGE_SELECTION	ステージ選択
$CONTINUE	続ける
$MAIN_MENU	メインメニュー
$GAME_PAUSED	一時停止
$SECRET_ORB_FOUND	秘密のオーブを発見しました
$CHARACTER_UNLOCKED	新しいキャラをアンロックしました！
$LAST_CHARACTER_UNLOCKED	最後のキャラをアンロック！すべてのオーブを発見しました！
$BEST_TIME	<N>ベストタイム
$NONE_CAPS	なし
$START_OVER	やり直す
$YES	はい
$NO	いいえ
$CANCEL	キャンセル
$CONTINUE_QUESTION	続行しますか？
$CONTINUE_PREVIOUS_GAME_QUESTION	以前のゲームを続行？
$CHOOSE_NEW_KEY	新しいキーを選択
$PRESS_NEW_KEY	新しいキーを押してください...
$KEY_ALREADY_IN_USE	「<X>」はすでに使用されています。<N>別のキーを選択してください。
$WINNER	勝ち
$TIE_EXCLAMATION	引き分け！
$HAS_WON_THE_TOURNAMENT	がトーナメントに勝利しました！
$TWO_PLAYER_TIE	2人のプレイヤーが<N>同点優勝！
$THREE_PLAYER_TIE	3人のプレイヤーが<N>同点優勝！
$FOUR_PLAYER_TIE	4人のプレイヤーが<N>同点優勝！
$FIVE_PLAYER_TIE	5人のプレイヤーが<N>同点優勝！
$SIX_PLAYER_TIE	6人のプレイヤーが<N>同点優勝！
$SEVEN_PLAYER_TIE	7人のプレイヤーが<N>同点優勝！
$EIGHT_PLAYER_TIE	8人のプレイヤーが<N>同点優勝！
$TAP_ICONS_TO_ADD	ステージアイコンをタップしてリストに追加
$CLICK_ICONS_TO_ADD	ステージアイコンをクリックしてリストに追加
$GS1_STAGE	GS1ステージ <X>
$GS2_STAGE	GS2ステージ <X>
$GS3_STAGE	GS3ステージ <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
$CLICK_OR_PRESS_KEY_TO_FLIP	クリックするかキーを押して反転
$TAP_TO_FLIP	タップして重力を反転
$TAP_TO_START	タップしてスタート
$TAP_TO_CONTINUE	タップして続行
$TAP_TO_START_NEW_TOURNAMENT	タップして新しいトーナメントを開始
$RANKINGS	順位
$FINAL_ROUND	最終ラウンド
$FINAL_ROUND_CAPS	最終ラウンド
