content	flags
$LOADING	로드 중
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	.
$THOUSANDS_SEPARATOR	,
$PLAY	플레이
$ENDLESS	끝없는
$MULTIPLAYER	멀티 플레이어
$CREDITS	크레딧
$BACK	뒤로
$SELECT_PLAYERS	플레이어 선택
$NUMBER_OF_PLAYERS	플레이어 수
$STAGES	단계
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 플러스
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	사용자 정의 1
$CUSTOM_2	사용자 정의 2
$CUSTOM_3	사용자 정의 3
$SET	설정..
$NEVER-ENDING	영원한
$NO_POWERUPS	파워업이 없습니다
$CLICK	클릭
$MORE_OPTIONS	추가 옵션
$STAGE_OPTIONS	스테이지 옵션
$PLAY_AGAINST_COMPUTER	컴퓨터를 상대로 플레이
$SELECT_LEVEL	레벨 선택
$STAGE_SELECTION	스테이지 선택
$CONTINUE	계속
$MAIN_MENU	메인 메뉴
$GAME_PAUSED	게임 일시 중지
$SECRET_ORB_FOUND	비밀 Orb 찾음
$CHARACTER_UNLOCKED	새로운 캐릭터 잠금 해제!
$LAST_CHARACTER_UNLOCKED	마지막 문자 잠금 해제! 모든 orb 찾음!
$BEST_TIME	베스트<N>시간
$NONE_CAPS	없음
$START_OVER	다시 시작
$YES	예
$NO	아니
$CANCEL	취소
$CONTINUE_QUESTION	계속하시겠습니까?
$CONTINUE_PREVIOUS_GAME_QUESTION	이전 게임을 계속하시겠습니까?
$CHOOSE_NEW_KEY	새 키 선택
$PRESS_NEW_KEY	새 키를 누르십시오..
$KEY_ALREADY_IN_USE	“<X>”은(는) 이미 사용 중입니다.<N>다른 키를 선택하십시오.
$WINNER	우승자
$TIE_EXCLAMATION	무승부!
