content	flags
$LOADING	Загрузка
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	,
$THOUSANDS_SEPARATOR	,
$PLAY	Играть
$ENDLESS	Бесконечный
$MULTIPLAYER	Мультиплеер
$CREDITS	Титры
$BACK	Назад
$SELECT_PLAYERS	Выбор игроков
$NUMBER_OF_PLAYERS	Количество игроков
$STAGES	Карты
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Пользовательский 1
$CUSTOM_2	Пользовательский 2
$CUSTOM_3	Пользовательский 3
$SET	Выбрать...
$NEVER-ENDING	Без конца
$NO_POWERUPS	Без бонусов
$CLICK	Нажми
$MORE_OPTIONS	Другие опции
$STAGE_OPTIONS	Опции карты
$PLAY_AGAINST_COMPUTER	Играть против компьютера
$SELECT_LEVEL	Выбрать уровень
$STAGE_SELECTION	Выбор карты
$CONTINUE	Продолжить
$MAIN_MENU	Главное меню
$GAME_PAUSED	Игра
$SECRET_ORB_FOUND	Найден скрытый шар
$CHARACTER_UNLOCKED	Новый персонаж разблокирован!
$LAST_CHARACTER_UNLOCKED	Последний персонаж разблокирован! Все шары найдены!
$BEST_TIME	Лучшее<N>время
$NONE_CAPS	НЕТ
$START_OVER	НАЧАТЬ СНОВА
$YES	Да
$NO	Нет
$CANCEL	Отмена
$CONTINUE_QUESTION	Продолжить?
$CONTINUE_PREVIOUS_GAME_QUESTION	Продолжить предыдущую игру?
$CHOOSE_NEW_KEY	Выберите новый ключ
$PRESS_NEW_KEY	Нажмите новый ключ...
$KEY_ALREADY_IN_USE	“<X>” уже используется.<N>Пожалуйста, выберите другой ключ.
$WINNER	Победитель
$TIE_EXCLAMATION	Ничья!
$HAS_WON_THE_TOURNAMENT	выиграл(а) турнир!
$TWO_PLAYER_TIE	Два игрока борются<N>за первое место!
$THREE_PLAYER_TIE	Три игрока борются<N>за первое место!
$FOUR_PLAYER_TIE	Четыре игрока борются<N>за первое место!
$FIVE_PLAYER_TIE	Пять игроков борются<N>за первое место!
$SIX_PLAYER_TIE	Шесть игроков борются<N>за первое место!
$SEVEN_PLAYER_TIE	Семь игроков борются<N>за первое место!
$EIGHT_PLAYER_TIE	Восемь игроков борются<N>за первое место!
$TAP_ICONS_TO_ADD	Нажмите на значки карт, чтобы добавить их в список
$CLICK_ICONS_TO_ADD	Нажмите на значки карт, чтобы добавить их в список
$GS1_STAGE	GS1 Карта <X>
$GS2_STAGE	GS2 Карта <X>
$GS3_STAGE	GS3 Карта <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
$CLICK_OR_PRESS_KEY_TO_FLIP	Нажмите любую клавишу для переворота
$TAP_TO_FLIP	Нажмите в любом месте, чтобы повернуть гравитацию
$TAP_TO_START	Нажмите в любом месте, чтобы начать
$TAP_TO_CONTINUE	Нажмите в любом месте, чтобы продолжить
$TAP_TO_START_NEW_TOURNAMENT	Нажмите в любом месте, чтобы начать новый турнир
$RANKINGS	Рейтинги
$FINAL_ROUND	Финальный раунд
