content	flags
$LOADING	载入中
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	.
$THOUSANDS_SEPARATOR	,
$PLAY	玩
$ENDLESS	无尽
$MULTIPLAYER	多人
$CREDITS	制作团队
$BACK	返回
$SELECT_PLAYERS	玩家选择
$NUMBER_OF_PLAYERS	玩家人数
$STAGES	阶段
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	自定义1
$CUSTOM_2	自定义2
$CUSTOM_3	自定义3
$SET	设置…
$NEVER-ENDING	无穷无尽
$NO_POWERUPS	无强力道具
$CLICK	点击
$MORE_OPTIONS	更多选择
$STAGE_OPTIONS	阶段选项
$PLAY_AGAINST_COMPUTER	玩家对战电脑
$SELECT_LEVEL	选择关卡
$STAGE_SELECTION	阶段选择
$CONTINUE	继续
$MAIN_MENU	主菜单
$GAME_PAUSED	游戏暂停
$SECRET_ORB_FOUND	发现秘密球体
$CHARACTER_UNLOCKED	已解锁新角色！
$LAST_CHARACTER_UNLOCKED	最后一个角色已解锁！发现所有的球体！
$BEST_TIME	最佳<N>时间
$NONE_CAPS	无
$START_OVER	重来
$YES	是
$NO	没有
$CANCEL	取消
$CONTINUE_QUESTION	继续？
$CONTINUE_PREVIOUS_GAME_QUESTION	继续以前的游戏？
$CHOOSE_NEW_KEY	选择新键
$PRESS_NEW_KEY	按下新键...
$KEY_ALREADY_IN_USE	“<X>”已被使用。<N>请选择其他键。
$WINNER	赢家
$TIE_EXCLAMATION	平局！
$HAS_WON_THE_TOURNAMENT	赢得了比赛！
$TWO_PLAYER_TIE	两名玩家<N>并列第一！
$THREE_PLAYER_TIE	三名玩家<N>并列第一！
$FOUR_PLAYER_TIE	四名玩家<N>并列第一！
$FIVE_PLAYER_TIE	五名玩家<N>并列第一！
$SIX_PLAYER_TIE	六名玩家<N>并列第一！
$SEVEN_PLAYER_TIE	七名玩家<N>并列第一！
$EIGHT_PLAYER_TIE	八名玩家<N>并列第一！
$TAP_ICONS_TO_ADD	点击阶段按钮添加至列表
$CLICK_ICONS_TO_ADD	点击阶段按钮添加至列表
$GS1_STAGE	GS1阶段 <X>
$GS2_STAGE	GS2阶段 <X>
$GS3_STAGE	GS3阶段 <X>
$GS1_STAGE_SHORT	GS1-<X>
$GS2_STAGE_SHORT	GS2-<X>
$GS3_STAGE_SHORT	GS3-<X>
$CLICK_OR_PRESS_KEY_TO_FLIP	点击或按任意键翻页
$TAP_TO_FLIP	点击任意位置来翻转重力
$TAP_TO_START	点击任意位置开始
$TAP_TO_CONTINUE	点击任意位置继续
$TAP_TO_START_NEW_TOURNAMENT	点击任意位置开始新的比赛
$RANKINGS	排名
$FINAL_ROUND	最后一轮
$FINAL_ROUND_CAPS	最后一轮
$ROUND_X_OF_Y	第<X> / <Y>轮
$ROUND_X	第<X>轮
$FIRST_SUPERSCRIPT	 
$SECOND_SUPERSCRIPT	 
$THIRD_SUPERSCRIPT	 
$FOURTH_SUPERSCRIPT	 
$FIFTH_SUPERSCRIPT	 
$SIXTH_SUPERSCRIPT	 
$SEVENTH_SUPERSCRIPT	 
$EIGHTH_SUPERSCRIPT	 
$FIRST_BASELINE	第一
$SECOND_BASELINE	第二
$THIRD_BASELINE	第三
$FOURTH_BASELINE	第四
$FIFTH_BASELINE	第五
$SIXTH_BASELINE	第六
$SEVENTH_BASELINE	第七
$EIGHTH_BASELINE	第八
$PLAYER_1	玩家1
$PLAYER_2	玩家2
$PLAYER_3	玩家3
$PLAYER_4	玩家4
$TAP_HERE_CAPS	点击此处
